palabra,muestras,longitud,seleccionada,motivo_exclusion,metrica_exclusion,umbral_exclusion,similar_a,similitud_fonetica,f1_preliminar
acercamiento,8,12,no,frecuencia_insuficiente,8.0,1000.0,,,
acercan,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
acercarnos,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
acercarse,23,9,no,frecuencia_insuficiente,23.0,1000.0,,,
acercó,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
acero,49,5,no,frecuencia_insuficiente,49.0,1000.0,,,
acerque,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
acertaba,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
acertar,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acervo,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
acetato,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
acevedo,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
acidez,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
acidosis,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
aclamación,7,10,no,frecuencia_insuficiente,7.0,1000.0,,,
aclamada,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
aclamado,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
aclara,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
aclarar,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
acoge,22,5,no,frecuencia_insuficiente,22.0,1000.0,,,
acogedor,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
acogida,32,7,no,frecuencia_insuficiente,32.0,1000.0,,,
acogido,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acojonante,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
acometió,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
acomodada,12,9,no,frecuencia_insuficiente,12.0,1000.0,,,
acomodado,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
acomodar,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
acompaña,39,8,no,frecuencia_insuficiente,39.0,1000.0,,,
acompañaba,12,10,no,frecuencia_insuficiente,12.0,1000.0,,,
acompañaban,5,11,no,frecuencia_insuficiente,5.0,1000.0,,,
acompañada,19,10,no,frecuencia_insuficiente,19.0,1000.0,,,
acompañadas,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
acompañado,61,10,no,frecuencia_insuficiente,61.0,1000.0,,,
acompañados,8,11,no,frecuencia_insuficiente,8.0,1000.0,,,
acompañamiento,16,14,no,frecuencia_insuficiente,16.0,1000.0,,,
acompañan,11,9,no,frecuencia_insuficiente,11.0,1000.0,,,
acompañando,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
acompañante,6,11,no,frecuencia_insuficiente,6.0,1000.0,,,
acompañantes,5,12,no,frecuencia_insuficiente,5.0,1000.0,,,
acompañar,14,9,no,frecuencia_insuficiente,14.0,1000.0,,,
acompañarlo,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
acompañaron,7,11,no,frecuencia_insuficiente,7.0,1000.0,,,
acompañó,24,8,no,frecuencia_insuficiente,24.0,1000.0,,,
aconcagua,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
acondicionado,13,13,no,frecuencia_insuficiente,13.0,1000.0,,,
aconseja,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
acontecimiento,12,14,no,frecuencia_insuficiente,12.0,1000.0,,,
acontecimientos,44,15,no,frecuencia_insuficiente,44.0,1000.0,,,
acoplamientos,3,13,no,frecuencia_insuficiente,3.0,1000.0,,,
acorazado,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
acorazados,5,10,no,frecuencia_insuficiente,5.0,1000.0,,,
acordado,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
acordar,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
acordaron,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
acorde,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
acordes,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acordeón,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acordó,14,6,no,frecuencia_insuficiente,14.0,1000.0,,,
acorralado,4,10,no,frecuencia_insuficiente,4.0,1000.0,,,
acosaban,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
acoso,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
acosta,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
acostumbra,7,10,no,frecuencia_insuficiente,7.0,1000.0,,,
acostumbran,3,11,no,frecuencia_insuficiente,3.0,1000.0,,,
acostumbrando,3,13,no,frecuencia_insuficiente,3.0,1000.0,,,
acostumbrarme,8,13,no,frecuencia_insuficiente,8.0,1000.0,,,
acosté,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
acosándome,2,10,no,frecuencia_insuficiente,2.0,1000.0,,,
acre,7,4,no,frecuencia_insuficiente,7.0,1000.0,,,
acredita,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
acreditación,2,12,no,frecuencia_insuficiente,2.0,1000.0,,,
acreditada,7,10,no,frecuencia_insuficiente,7.0,1000.0,,,
acreditado,12,10,no,frecuencia_insuficiente,12.0,1000.0,,,
acreedor,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
acreedores,1,10,no,frecuencia_insuficiente,1.0,1000.0,,,
acrobacias,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
acrónimo,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
acrópolis,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
acta,8,4,no,frecuencia_insuficiente,8.0,1000.0,,,
actas,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
action,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
actitud,39,7,no,frecuencia_insuficiente,39.0,1000.0,,,
actitudes,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
activa,70,6,no,frecuencia_insuficiente,70.0,1000.0,,,
activación,7,10,no,frecuencia_insuficiente,7.0,1000.0,,,
activamente,30,11,no,frecuencia_insuficiente,30.0,1000.0,,,
activas,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
active,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
actividad,359,9,no,frecuencia_insuficiente,359.0,1000.0,,,
actividades,257,11,no,frecuencia_insuficiente,257.0,1000.0,,,
activismo,9,9,no,frecuencia_insuficiente,9.0,1000.0,,,
activista,19,9,no,frecuencia_insuficiente,19.0,1000.0,,,
activistas,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
activo,117,6,no,frecuencia_insuficiente,117.0,1000.0,,,
activos,44,7,no,frecuencia_insuficiente,44.0,1000.0,,,
acto,93,4,no,frecuencia_insuficiente,93.0,1000.0,,,
actor,270,5,no,frecuencia_insuficiente,270.0,1000.0,,,
actoral,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
actores,87,7,no,frecuencia_insuficiente,87.0,1000.0,,,
actos,70,5,no,frecuencia_insuficiente,70.0,1000.0,,,
actrices,14,8,no,frecuencia_insuficiente,14.0,1000.0,,,
actriz,240,6,no,frecuencia_insuficiente,240.0,1000.0,,,
actuaba,14,7,no,frecuencia_insuficiente,14.0,1000.0,,,
actuaciones,75,11,no,frecuencia_insuficiente,75.0,1000.0,,,
actuación,155,9,no,frecuencia_insuficiente,155.0,1000.0,,,
actuado,20,7,no,frecuencia_insuficiente,20.0,1000.0,,,
actual,415,6,no,frecuencia_insuficiente,415.0,1000.0,,,
actuales,54,8,no,frecuencia_insuficiente,54.0,1000.0,,,
actualidad,423,10,no,frecuencia_insuficiente,423.0,1000.0,,,
actualiza,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
actualizaciones,8,15,no,frecuencia_insuficiente,8.0,1000.0,,,
actualización,11,13,no,frecuencia_insuficiente,11.0,1000.0,,,
actualizada,8,11,no,frecuencia_insuficiente,8.0,1000.0,,,
actualizado,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
actuando,23,8,no,frecuencia_insuficiente,23.0,1000.0,,,
actuar,61,6,no,frecuencia_insuficiente,61.0,1000.0,,,
actuaron,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
actuó,86,5,no,frecuencia_insuficiente,86.0,1000.0,,,
actúa,42,5,no,frecuencia_insuficiente,42.0,1000.0,,,
actúan,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
acuarela,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acuario,12,7,no,frecuencia_insuficiente,12.0,1000.0,,,
acuarios,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acude,10,5,no,frecuencia_insuficiente,10.0,1000.0,,,
acuden,5,6,no,frecuencia_insuficiente,5.0,1000.0,,,
acudieron,14,9,no,frecuencia_insuficiente,14.0,1000.0,,,
acudir,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
acudió,24,6,no,frecuencia_insuficiente,24.0,1000.0,,,
acueducto,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
acuerdas,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
acuerdo,223,7,no,frecuencia_insuficiente,223.0,1000.0,,,
acuerdos,21,8,no,frecuencia_insuficiente,21.0,1000.0,,,
acuesta,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acumula,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
acumulación,8,11,no,frecuencia_insuficiente,8.0,1000.0,,,
acumulado,2,9,no,frecuencia_insuficiente,2.0,1000.0,,,
acumulan,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
acumuló,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acuosidad,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
acurrucadas,2,11,no,frecuencia_insuficiente,2.0,1000.0,,,
acusa,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
acusaciones,19,11,no,frecuencia_insuficiente,19.0,1000.0,,,
acusación,17,9,no,frecuencia_insuficiente,17.0,1000.0,,,
acusada,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
acusado,32,7,no,frecuencia_insuficiente,32.0,1000.0,,,
acusados,15,8,no,frecuencia_insuficiente,15.0,1000.0,,,
acusaron,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
acusó,11,5,no,frecuencia_insuficiente,11.0,1000.0,,,
acuática,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acuáticas,18,9,no,frecuencia_insuficiente,18.0,1000.0,,,
acuático,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
acuáticos,24,9,no,frecuencia_insuficiente,24.0,1000.0,,,
acuña,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
acuñadas,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
acá,12,3,no,frecuencia_insuficiente,12.0,1000.0,,,
acólito,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
acúmulo,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
acústica,23,8,no,frecuencia_insuficiente,23.0,1000.0,,,
acústico,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
ada,5,3,no,frecuencia_insuficiente,5.0,1000.0,,,
adagio,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
adalberto,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
adam,30,4,no,frecuencia_insuficiente,30.0,1000.0,,,
adams,21,5,no,frecuencia_insuficiente,21.0,1000.0,,,
adapta,9,6,no,frecuencia_insuficiente,9.0,1000.0,,,
