palabra,muestras,longitud_chars,suficiente
hace,763,4,no
sede,760,4,no
bajo,758,4,no
general,758,7,no
todas,750,5,no
siempre,745,7,no
estudió,743,7,no
algunas,740,7,no
canción,739,7,no
segunda,738,7,no
sur,738,3,no
ellos,735,5,no
final,735,5,no
posteriormente,728,14,no
otro,727,4,no
mejor,720,5,no
sólo,719,4,no
río,717,3,no
siguiente,710,9,no
españa,707,6,no
partido,706,7,no
película,703,8,no
álbum,701,5,no
música,700,6,no
ambos,699,5,no
nunca,694,5,no
eso,693,3,no
serie,692,5,no
eran,691,4,no
estudios,684,8,no
veces,683,5,no
país,682,4,no
casa,680,4,no
mucho,669,5,no
aunque,663,6,no
norte,663,5,no
tenía,661,5,no
muchas,656,6,no
grandes,650,7,no
diferentes,648,10,no
nada,648,4,no
trabajo,648,7,no
estados,640,7,no
otra,640,4,no
zona,631,4,no
ahora,628,5,no
nuevo,623,5,no
escuela,622,7,no
hijos,617,5,no
hacia,616,5,no
obras,616,5,no
importante,605,10,no
agua,600,4,no
esa,599,3,no
hoy,598,3,no
banda,591,5,no
iglesia,591,7,no
hizo,587,4,no
unidos,585,6,no
momento,583,7,no
hacer,579,5,no
capital,571,7,no
junto,561,5,no
toda,561,4,no
finalmente,556,10,no
comenzó,550,7,no
madre,547,5,no
nos,544,3,no
dentro,535,6,no
sistema,535,7,no
mayoría,534,7,no
provincia,528,9,no
central,526,7,no
segundo,525,7,no
encuentran,524,10,no
gobierno,521,8,no
siendo,519,6,no
contra,518,6,no
menos,518,5,no
pueblo,517,6,no
miembro,515,7,no
último,514,6,no
estuvo,512,6,no
recibió,511,7,no
temporada,511,9,no
presidente,509,10,no
vamos,502,5,no
región,501,6,no
qué,500,3,no
hecho,496,5,no
tipo,496,4,no
firefox,490,7,no
mientras,490,8,no
muerte,490,6,no
the,489,3,no
fútbol,484,6,no
juan,481,4,no
trata,480,5,no
casi,479,4,no
algo,477,4,no
isla,477,4,no
principalmente,476,14,no
existen,472,7,no
estilo,469,6,no
misma,469,5,no
especie,468,7,no
internacional,464,13,no
canciones,462,9,no
juego,458,5,no
ver,455,3,no
ello,454,4,no
aquí,453,4,no
edificio,453,8,no
municipio,452,9,no
planta,450,6,no
medio,447,5,no
noche,447,5,no
quien,446,5,no
primeros,443,8,no
madrid,442,6,no
debe,440,4,no
argentina,439,9,no
realizó,436,7,no
principales,435,11,no
director,434,8,no
posee,432,5,no
título,432,6,no
tener,430,5,no
según,428,5,no
número,427,6,no
conocido,426,8,no
origen,424,6,no
actualidad,423,10,no
debido,423,6,no
les,423,3,no
maría,423,5,no
condado,421,7,no
largo,421,5,no
mar,418,3,no
producción,416,10,no
actual,415,6,no
flores,415,6,no
porque,415,6,no
europa,414,6,no
hombre,413,6,no
caso,412,4,no
derecho,411,7,no
programa,410,8,no
tierra,410,6,no
natural,409,7,no
presenta,407,8,no
trabajó,407,7,no
vale,406,4,no
hija,405,4,no
política,404,8,no
real,400,4,no
tan,400,3,no
personas,399,8,no
santa,399,5,no
manera,398,6,no
división,395,8,no
estación,395,8,no
hermano,392,7,no
días,389,4,no
teatro,386,6,no
igual,385,5,no
cabeza,384,6,no
libro,384,5,no
base,383,4,no
disco,383,5,no
juega,383,5,no
museo,383,5,no
televisión,383,10,no
población,380,9,no
países,379,6,no
aún,378,3,no
francia,375,7,no
arte,373,4,no
grande,373,6,no
interior,373,8,no
llegó,373,5,no
unos,373,4,no
blanco,372,6,no
cuerpo,371,6,no
niña,371,4,no
joven,368,5,no
lleva,367,5,no
pasó,367,4,no
especies,363,8,no
última,362,6,no
chile,360,5,no
hojas,360,5,no
ojos,360,4,no
actividad,359,9,no
cerca,357,5,no
lado,355,4,no
público,355,7,no
ambas,352,5,no
importantes,352,11,no
estar,351,5,no
proyecto,351,8,no
habita,350,6,no
muestra,349,7,no
militar,348,7,no
único,347,5,no
distrito,345,8,no
parece,344,6,no
sigue,344,5,no
mundial,343,7,no
oficial,343,7,no
pues,343,4,no
versión,341,7,no
cargo,340,5,no
mujer,340,5,no
selección,340,9,no
costa,339,5,no
obtuvo,339,6,no
diversas,338,8,no
suele,337,5,no
español,336,7,no
padres,336,6,no
uso,336,3,no
considerado,335,11,no
barco,333,5,no
edad,333,4,no
aparece,332,7,no
diversos,332,8,no
papel,332,5,no
profesor,332,8,no
popular,331,7,no
república,331,9,no
localidad,330,9,no
existe,329,6,no
fuera,329,5,no
ejemplo,328,7,no
musical,328,7,no
participó,328,9,no
rey,328,3,no
numerosos,327,9,no
ocasiones,327,9,no
quiero,326,6,no
cine,325,4,no
estudio,325,7,no
favor,325,5,no
nombrado,325,8,no
tengo,325,5,no
grupos,324,6,no
honor,324,5,no
vive,324,4,no
amor,323,4,no
hermanos,323,8,no
china,322,5,no
ganó,322,4,no
meses,321,5,no
libros,319,6,no
negro,319,5,no
ninguna,319,7,no
nivel,319,5,no
parque,318,6,no
desarrollo,317,10,no
original,317,8,no
jugador,316,7,no
área,316,4,no
convirtió,315,9,no
generalmente,315,12,no
pequeño,315,7,no
pequeños,314,8,no
poder,314,5,no
buena,313,5,no
alto,312,4,no
dicho,312,5,no
estoy,311,5,no
pronto,310,6,no
equipos,308,7,no
punto,308,5,no
orden,307,5,no
miembros,306,8,no
áfrica,306,6,no
murió,305,5,no
conocida,304,8,no
movimiento,304,10,no
partes,304,6,no
restos,304,6,no
española,303,8,no
gente,303,5,no
gracias,303,7,no
bosques,302,7,no
pertenece,302,9,no
servicio,299,8,no
todavía,298,7,no
incluso,296,7,no
proceso,296,7,no
puedo,296,5,no
resto,295,5,no
tema,295,4,no
york,295,4,no
cualquier,292,9,no
mujeres,292,7,no
relación,292,8,no
campo,291,5,no
quedó,291,5,no
francisco,290,9,no
partir,290,6,no
alta,288,4,no
cosas,288,5,no
juegos,288,6,no
matrimonio,288,10,no
asimismo,287,8,no
bastante,287,8,no
bueno,287,5,no
dice,287,4,no
estaban,287,7,no
menor,287,5,no
partidos,287,8,no
pequeña,287,7,no
zonas,287,5,no
primero,286,7,no
puerto,286,6,no
clima,285,5,no
jugó,285,4,no
única,285,5,no
plantas,284,7,no
sabe,283,4,no
premio,281,6,no
educación,280,9,no
tal,280,3,no
liga,279,4,no
local,279,5,no
radio,279,5,no
sería,279,5,no
islas,278,5,no
línea,278,5,no
brasil,277,6,no
buen,277,4,no
buenos,277,6,no
fuerte,277,6,no
parís,277,5,no
haber,276,5,no
sea,276,3,no
superior,276,8,no
conoce,274,6,no
construcción,274,12,no
frente,274,6,no
numerosas,274,9,no
autor,273,5,no
carlos,273,6,no
hábitat,273,7,no
dicha,272,5,no
oeste,272,5,no
compañía,271,8,no
actor,270,5,no
camino,270,6,no
utiliza,269,7,no
alemania,268,8,no
revista,268,7,no
diez,267,4,no
posición,267,8,no
sencillo,267,8,no
llamado,266,7,no
ante,265,4,no
tercera,265,7,no
barrio,264,6,no
información,264,11,no
resultado,264,9,no
california,263,10,no
colegio,263,7,no
hermana,263,7,no
incluye,263,7,no
instituto,263,9,no
niño,263,4,no
películas,263,9,no
tenemos,263,7,no
cambio,262,6,no
mal,260,3,no
puesto,259,6,no
sitio,259,5,no
temas,259,5,no
castillo,258,8,no
civil,258,5,no
colombia,258,8,no
actividades,257,11,no
claro,256,5,no
común,256,5,no
mediante,256,8,no
paso,256,4,no
profesional,256,11,no
será,256,4,no
verdad,256,6,no
media,255,5,no
nadie,255,5,no
pasado,255,6,no
torneo,255,6,no
batalla,253,7,no
mano,253,4,no
perú,253,4,no
propio,252,6,no
suelo,251,5,no
últimos,251,7,no
escribió,250,8,no
dio,249,3,no
verde,249,5,no
cantante,248,8,no
reino,248,5,no
volvió,248,6,no
amigo,247,5,no
amigos,247,6,no
calle,247,5,no
contiene,247,8,no
especialmente,247,13,no
hombres,247,7,no
italia,247,6,no
oro,247,3,no
personaje,247,9,no
social,247,6,no
territorio,247,10,no
ningún,246,6,no
niños,245,5,no
primeras,245,8,no
departamento,244,12,no
ellas,244,5,no
señor,243,5,no
menudo,242,6,no
trabajos,242,8,no
formación,241,9,no
actriz,240,6,no
antigua,240,7,no
antiguo,240,7,no
australia,240,9,no
ayuda,240,5,no
juntos,240,6,no
voz,240,3,no
cabo,239,4,no
cultura,239,7,no
decir,237,5,no
tuvieron,237,8,no
barcelona,236,9,no
dios,236,4,no
valle,236,5,no
tipos,235,5,no
considera,234,9,no
luis,234,4,no
servicios,234,9,no
tercer,234,6,no
japón,233,5,no
queda,233,5,no
semana,233,6,no
agricultura,232,11,no
cual,232,4,no
diseño,232,6,no
economía,232,8,no
pequeñas,232,8,no
puerta,232,6,no
unión,232,5,no
victoria,232,8,no
azul,231,4,no
cementerio,231,10,no
hubo,231,4,no
obstante,231,8,no
plaza,231,5,no
quiere,231,6,no
siguientes,231,10,no
similar,231,7,no
empezó,230,6,no
empresa,230,7,no
estructura,230,10,no
modo,230,4,no
novela,230,6,no
problemas,230,9,no
santiago,230,8,no
edición,229,7,no
londres,229,7,no
luz,228,3,no
casado,227,6,no
sol,227,3,no
dirección,226,9,no
john,226,4,no
modelo,225,6,no
político,225,8,no
posible,225,7,no
baja,224,4,no
críticas,224,8,no
dejó,224,4,no
fin,224,3,no
período,224,7,no
pesar,224,5,no
sociedad,224,8,no
acuerdo,223,7,no
chole,223,5,no
comienza,223,8,no
pasa,223,4,no
verano,223,6,no
ciencias,222,8,no
cruz,222,4,no
principio,222,9,no
tamaño,222,6,no
manos,221,5,no
aquel,219,5,no
consejo,219,7,no
estamos,219,7,no
llamada,219,7,no
premios,219,7,no
situado,219,7,no
rojo,218,4,no
academia,217,8,no
espacio,217,7,no
mis,217,3,no
conjunto,216,8,no
piedra,216,6,no
campeón,215,7,no
elementos,215,9,no
aguas,213,5,no
antonio,212,7,no
defensa,212,7,no
comercial,211,9,no
comunidad,211,9,no
datos,211,5,no
decidió,211,7,no
literatura,211,10,no
especial,210,8,no
periodo,210,7,no
casos,209,5,no
persona,209,7,no
continuó,208,8,no
escrito,208,7,no
inició,208,6,no
llama,208,5,no
lugares,208,7,no
municipal,208,9,no
pocos,208,5,no
propia,208,6,no
situación,208,9,no
ahí,207,3,no
asia,207,4,no
campeonato,207,10,no
inglaterra,207,10,no
logró,207,5,no
anterior,206,8,no
mes,206,3,no
unas,205,4,no
venezuela,205,9,no
aires,204,5,no
nosotros,204,8,no
personajes,204,10,no
visto,204,5,no
acción,203,6,no
cubierta,203,8,no
destaca,203,7,no
occidental,203,10,no
horas,202,5,no
pedro,201,5,no
torre,201,5,no
formó,200,5,no
libre,200,5,no
católica,199,8,no
causa,199,5,no
ciudades,199,8,no
esposa,199,6,no
madera,199,6,no
trabaja,199,7,no
larga,198,5,no
terminó,198,7,no
amarillo,197,8,no
clase,197,5,no
encontrar,197,9,no
fecha,197,5,no
permite,197,7,no
situada,197,7,no
casó,196,4,no
nave,196,4,no
animales,195,8,no
roma,195,4,no
investigación,194,13,no
habían,193,6,no
fuente,192,6,no
alrededor,191,9,no
categoría,191,9,no
falta,191,5,no
julia,191,5,no
lista,191,5,no
organización,191,12,no
pareja,191,6,no
recibe,191,6,no
suelen,191,6,no
función,190,7,no
representa,190,10,no
aire,189,4,no
total,189,5,no
hacen,188,5,no
lengua,188,6,no
policía,188,7,no
semillas,188,8,no
van,188,3,no
artes,187,5,no
colores,187,7,no
pintura,187,7,no
india,186,5,no
jóvenes,186,7,no
llegar,186,6,no
sola,186,4,no
demasiado,185,9,no
dirigido,185,8,no
elegido,185,7,no
industria,185,9,no
carácter,184,8,no
dar,184,3,no
invierno,184,8,no
palabra,184,7,no
plata,184,5,no
realiza,184,7,no
templo,184,6,no
entrada,183,7,no
esos,183,4,no
has,183,3,no
propiedad,183,9,no
tampoco,183,7,no
toma,183,4,no
creció,182,6,no
dedicó,182,6,no
enterrado,182,9,no
exterior,182,8,no
fondo,182,5,no
fuerza,182,6,no
gusta,182,5,no
podemos,182,7,no
puente,182,6,no
aeropuerto,181,10,no
arquitectura,181,12,no
cabecera,181,8,no
eres,181,4,no
puntos,181,6,no
realizar,181,8,no
pudo,180,4,no
soy,180,3,no
versiones,180,9,no
vino,180,4,no
cola,179,4,no
episodio,179,8,no
figura,179,6,no
filosofía,179,9,no
hora,179,4,no
manuel,179,6,no
trabajar,179,8,no
considerada,178,11,no
artistas,177,8,no
cómo,177,4,no
etapa,177,5,no
incluyen,177,8,no
lago,177,4,no
publicó,177,7,no
acceso,176,6,no
completamente,176,13,no
estadio,176,7,no
miguel,176,6,no
regresó,176,7,no
ubicado,176,7,no
asociación,175,10,no
blanca,175,6,no
distintos,175,9,no
jefe,175,4,no
natal,175,5,no
significa,175,9,no
tropicales,175,10,no
usa,175,3,no
video,175,5,no
villa,175,5,no
capítulo,174,8,no
continuación,174,12,no
cultural,174,8,no
objetivo,173,8,no
crítica,172,7,no
formas,172,6,no
importancia,172,11,no
red,172,3,no
artista,171,7,no
deja,171,4,no
distintas,171,9,no
gira,171,4,no
imagen,171,6,no
palacio,171,7,no
salir,171,5,no
voy,171,3,no
francesa,170,8,no
histórico,170,9,no
llevó,170,5,no
ministro,170,8,no
problema,170,8,no
tierras,170,7,no
catedral,169,8,no
creo,169,4,no
difícil,169,7,no
ganado,169,6,no
hospital,169,8,no
conserva,168,8,no
cuarto,168,6,no
fuerzas,168,7,no
fundación,168,9,no
letras,168,6,no
pie,168,3,no
produce,168,7,no
relaciones,168,10,no
tenían,168,6,no
abogado,167,7,no
diario,167,6,no
doce,167,4,no
maestro,167,7,no
poesía,167,6,no
programas,167,9,no
referencia,167,10,no
deportivo,166,9,no
influencia,166,10,no
medios,166,6,no
mejores,166,7,no
publicado,166,9,no
vuelve,166,6,no
adelante,165,8,no
alas,165,4,no
nuevos,165,6,no
rápidamente,165,11,no
siento,165,6,no
unido,165,5,no
cara,164,4,no
mayores,164,7,no
oriental,164,8,no
personal,164,8,no
tradición,164,9,no
ángeles,164,7,no
alguien,163,7,no
humanos,163,7,no
paz,163,3,no
clases,162,6,no
pública,162,7,no
tenido,162,6,no
tiempos,162,7,no
david,161,5,no
nacionales,161,10,no
viaje,161,5,no
algún,160,5,no
jardín,160,6,no
pan,160,3,no
sector,160,6,no
viejo,160,5,no
áreas,160,5,no
aves,159,4,no
campaña,159,7,no
comunicación,159,12,no
control,159,7,no
corazón,159,7,no
fuentes,159,7,no
jugar,159,5,no
mil,159,3,no
normalmente,159,11,no
nuevas,159,6,no
rock,159,4,no
vivió,159,5,no
árboles,159,7,no
hicieron,158,8,no
alguna,157,6,no
montaña,157,7,no
presencia,157,9,no
rusia,157,5,no
uruguay,157,7,no
don,156,3,no
edificios,156,9,no
escuelas,156,8,no
locales,156,7,no
valencia,156,8,no
actuación,155,9,no
alemán,155,6,no
comisión,155,8,no
copa,155,4,no
cámara,155,6,no
oscuro,155,6,no
rica,155,4,no
valor,155,5,no
imperio,154,7,no
llega,154,5,no
siguió,154,6,no
solamente,154,9,no
consta,153,6,no
musicales,153,9,no
podría,153,6,no
arriba,152,6,no
doctor,152,6,no
escrita,152,7,no
fiesta,152,6,no
infancia,152,8,no
jugadores,152,9,no
león,152,4,no
material,152,8,no
naturales,152,9,no
palabras,152,8,no
perdió,152,6,no
perro,152,5,no
playa,152,5,no
reina,152,5,no
revolución,152,10,no
salud,152,5,no
variedad,152,8,no
vista,152,5,no
aun,151,3,no
caballo,151,7,no
comercio,151,8,no
doble,151,5,no
escritor,151,8,no
festival,151,8,no
grado,151,5,no
habla,151,5,no
idea,151,4,no
lucha,151,5,no
pocas,151,5,no
probablemente,151,13,no
productos,151,9,no
secundaria,151,10,no
dirigió,150,7,no
fachada,150,7,no
fase,150,4,no
jugaba,150,6,no
marca,150,5,no
resultados,150,10,no
ubica,150,5,no
viene,150,5,no
consiguió,149,9,no
dijo,149,4,no
esas,149,4,no
julio,149,5,no
noroeste,149,8,no
aparecen,148,8,no
apareció,148,8,no
armas,148,5,no
cantidad,148,8,no
dan,148,3,no
habitantes,148,10,no
igualmente,148,10,no
insectos,148,8,no
utilizado,148,9,no
cambios,147,7,no
hemos,147,5,no
inferiores,147,10,no
mayo,147,4,no
podía,147,5,no
ricardo,147,7,no
consiste,146,8,no
corto,146,5,no
decide,146,6,no
ecuador,146,7,no
juventud,146,8,no
nuestra,146,7,no
pasar,146,5,no
ubicada,146,7,no
biblioteca,145,10,no
características,145,15,no
ley,145,3,no
relativamente,145,13,no
turismo,145,7,no
administración,144,14,no
artículos,144,9,no
cosa,144,4,no
críticos,144,8,no
forman,144,6,no
fruto,144,5,no
mercado,144,7,no
mitad,144,5,no
razón,144,5,no
seguridad,144,9,no
teoría,144,6,no
alcalde,143,7,no
anteriormente,143,13,no
canadá,143,6,no
casas,143,5,no
cuanto,143,6,no
deben,143,5,no
empresas,143,8,no
entrenador,143,10,no
evento,143,6,no
frontera,143,8,no
garcía,143,6,no
haciendo,143,8,no
militares,143,9,no
ofrece,143,6,no
originalmente,143,13,no
tienes,143,6,no
colección,142,9,no
palomares,142,9,no
santo,142,5,no
capitán,141,7,no
condiciones,141,11,no
independiente,141,13,no
ríos,141,4,no
completo,140,8,no
estudiantes,140,11,no
mantuvo,140,7,no
sentido,140,7,no
sociales,140,8,no
tradicional,140,11,no
vía,140,3,no
bosque,139,6,no
sistemas,139,8,no
tomó,139,4,no
volver,139,6,no
abajo,138,5,no
estrella,138,8,no
izquierda,138,9,no
mira,138,4,no
usted,138,5,no
permaneció,137,10,no
sierra,137,6,no
bolivia,136,7,no
calidad,136,7,no
dado,136,4,no
derecha,136,7,no
enfermedad,136,10,no
escudo,136,6,no
marrón,136,6,no
oye,136,3,no
piano,136,5,no
poeta,136,5,no
políticas,136,9,no
práctica,136,8,no
trasladó,136,8,no
antiguos,135,8,no
ayuntamiento,135,12,no
canal,135,5,no
corta,135,5,no
desarrolló,135,10,no
distribución,135,12,no
encontrado,135,10,no
energía,135,7,no
formado,135,7,no
fundador,135,8,no
guitarra,135,8,no
miedo,135,5,no
mucha,135,5,no
presentan,135,9,no
reyes,135,5,no
superficie,135,10,no
temporadas,135,10,no
termina,135,7,no
web,135,3,no
buenas,134,6,no
corte,134,5,no
diferencia,134,10,no
económica,134,9,no
efecto,134,6,no
gobernador,134,10,no
localidades,134,11,no
proyectos,134,9,no
boca,133,4,no
complejo,133,8,no
finales,133,7,no
ganador,133,7,no
quieres,133,7,no
veinte,133,6,no
aspecto,132,7,no
derechos,132,8,no
fernando,132,8,no
iba,132,3,no
únicamente,132,10,no
apenas,131,6,no
destino,131,7,no
series,131,6,no
treinta,131,7,no
vivo,131,4,no
autores,130,7,no
cielo,130,5,no
gris,130,4,no
lanzamiento,130,11,no
nuevamente,130,10,no
originaria,130,10,no
originario,130,10,no
sirve,130,5,no
vivir,130,5,no
abierto,129,7,no
crecimiento,129,11,no
delantero,129,9,no
dónde,129,5,no
extremo,129,7,no
graduó,129,6,no
industrial,129,10,no
inicialmente,129,12,no
sala,129,4,no
basada,128,6,no
falleció,128,8,no
fuego,128,5,no
hechos,128,6,no
luna,128,4,no
mantiene,128,8,no
martín,128,6,no
medicina,128,8,no
participación,128,13,no
sale,128,4,no
sonido,128,6,no
texto,128,5,no
usado,128,5,no
campos,127,6,no
college,127,7,no
conocidos,127,9,no
córdoba,127,7,no
demás,127,5,no
diferente,127,9,no
dinero,127,6,no
inferior,127,8,no
jorge,127,5,no
libertad,127,8,no
ninguno,127,7,no
pico,127,4,no
plan,127,4,no
realidad,127,8,no
revistas,127,8,no
simple,127,6,no
totalmente,127,10,no
unidad,127,6,no
viento,127,6,no
virgen,127,6,no
combate,126,7,no
mañana,126,6,no
regiones,126,8,no
ruta,126,4,no
contrario,125,9,no
creación,125,8,no
entrar,125,6,no
nacido,125,6,no
nombres,125,7,no
anteriores,124,10,no
aquellos,124,8,no
ataque,124,6,no
empieza,124,7,no
ganadería,124,9,no
particular,124,10,no
portugal,124,8,no
presente,124,8,no
terreno,124,7,no
amplia,123,6,no
asistió,123,7,no
calles,123,6,no
compuesta,123,9,no
dulce,123,5,no
españoles,123,9,no
famoso,123,6,no
frutos,123,6,no
memoria,123,7,no
posteriores,123,11,no
primavera,123,9,no
rango,123,5,no
realizado,123,9,no
seguro,123,6,no
blancas,122,7,no
capilla,122,7,no
concepto,122,8,no
cuba,122,4,no
huevos,122,6,no
muerto,122,6,no
naturaleza,122,10,no
producido,122,9,no
públicas,122,8,no
tropical,122,8,no
carretera,121,9,no
dedicada,121,8,no
dirigida,121,8,no
frecuencia,121,10,no
hablar,121,6,no
internacionales,121,15,no
líder,121,5,no
ministerio,121,10,no
pesca,121,5,no
recibido,121,8,no
salvador,121,8,no
viven,121,5,no
atrás,120,5,no
bajas,120,5,no
cargos,120,6,no
efectos,120,7,no
escena,120,6,no
líneas,120,6,no
medalla,120,7,no
octubre,120,7,no
reside,120,6,no
semanas,120,7,no
tales,120,5,no
vuelta,120,6,no
ambiente,119,8,no
berlín,119,6,no
comarca,119,7,no
conciertos,119,10,no
deportes,119,8,no
estadounidense,119,14,no
excepto,119,7,no
guinea,119,6,no
italiano,119,8,no
montañas,119,8,no
periódico,119,9,no
piezas,119,6,no
populares,119,9,no
ramas,119,5,no
regional,119,8,no
sino,119,4,no
tratamiento,119,11,no
arquitecto,118,10,no
comerciales,118,11,no
composición,118,11,no
cree,118,4,no
peces,118,5,no
activo,117,6,no
capacidad,117,9,no
ciencia,117,7,no
eventos,117,7,no
feliz,117,5,no
james,117,5,no
mexicano,117,8,no
puedes,117,6,no
rosa,117,4,no
corona,116,6,no
dispone,116,7,no
hierro,116,6,no
mexicana,116,8,no
posterior,116,9,no
prisión,116,7,no
septiembre,116,10,no
tomar,116,5,no
velocidad,116,9,no
acerca,115,6,no
apoyo,115,5,no
aquella,115,7,no
banco,115,5,no
construido,115,10,no
distancia,115,9,no
incluyendo,115,10,no
medida,115,6,no
niveles,115,7,no
prensa,115,6,no
quién,115,5,no
resistencia,115,11,no
transporte,115,10,no
contenido,114,9,no
encontraba,114,10,no
húmedos,114,7,no
jesús,114,5,no
sección,114,7,no
vas,114,3,no
accidente,113,9,no
carne,113,5,no
cuenca,113,6,no
elecciones,113,10,no
lejos,113,5,no
llegado,113,7,no
obispo,113,6,no
poseen,113,6,no
arena,112,5,no
cadena,112,6,no
clásico,112,7,no
decisión,112,8,no
depende,112,7,no
distribuye,112,10,no
entró,112,5,no
evitar,112,6,no
funciones,112,9,no
george,112,6,no
imágenes,112,8,no
menores,112,7,no
minutos,112,7,no
monumento,112,9,no
necesario,112,9,no
nuestro,112,7,no
perdido,112,7,no
pintor,112,6,no
primaria,112,8,no
regreso,112,7,no
respecto,112,8,no
seguir,112,6,no
titular,112,7,no
títulos,112,7,no
acaba,111,5,no
adultos,111,7,no
cierto,111,6,no
cursó,111,5,no
dedicado,111,8,no
desempeñó,111,9,no
diego,111,5,no
domingo,111,7,no
encima,111,6,no
escribir,111,8,no
figuras,111,7,no
michael,111,7,no
patas,111,5,no
principios,111,10,no
publicación,111,11,no
rico,111,4,no
sevilla,111,7,no
siglo,111,5,no
tropas,111,6,no
venga,111,5,no
vídeo,111,5,no
diputado,110,8,no
encontró,110,8,no
ferrocarril,110,11,no
formato,110,7,no
física,110,6,no
muere,110,5,no
éste,110,4,no
atención,109,8,no
comida,109,6,no
estudiar,109,8,no
experiencia,109,11,no
licenciado,109,10,no
modelos,109,7,no
negra,109,5,no
novelas,109,7,no
paul,109,4,no
retiró,109,6,no
school,109,6,no
símbolo,109,7,no
ulises,109,6,no
ven,109,3,no
colonia,108,7,no
cuarenta,108,8,no
labor,108,5,no
mando,108,5,no
misión,108,6,no
paraguay,108,8,no
prueba,108,6,no
secretario,108,10,no
siguen,108,6,no
tocar,108,5,no
vio,108,3,no
come,107,4,no
compositor,107,10,no
contacto,107,8,no
debajo,107,6,no
después,107,7,no
inicio,107,6,no
oficiales,107,9,no
pruebas,107,7,no
publicaciones,107,13,no
similares,107,9,no
árbol,107,5,no
amistad,106,7,no
animal,106,6,no
city,106,4,no
comer,106,5,no
cuarta,106,6,no
debut,106,5,no
dejar,106,5,no
destacan,106,8,no
historias,106,9,no
inmediatamente,106,14,no
juguete,106,7,no
quedan,106,6,no
respuesta,106,9,no
agosto,105,6,no
avenida,105,7,no
cambiar,105,7,no
categorías,105,10,no
chicos,105,6,no
creó,105,4,no
cráter,105,6,no
diócesis,105,8,no
fiestas,105,7,no
llevan,105,6,no
permanente,105,10,no
planeta,105,7,no
suerte,105,6,no
ainhoa,104,6,no
alimenta,104,8,no
bandas,104,6,no
caracteriza,104,11,no
coro,104,4,no
duda,104,4,no
ediciones,104,9,no
escenas,104,7,no
hogar,104,5,no
humano,104,6,no
marido,104,6,no
múltiples,104,9,no
objeto,104,6,no
par,104,3,no
parroquia,104,9,no
poemas,104,6,no
proviene,104,8,no
recursos,104,8,no
roja,104,4,no
soldados,104,8,no
suiza,104,5,no
trabajando,104,10,no
vegetación,104,10,no
voces,104,5,no
vías,104,4,no
argentino,103,9,no
basa,103,4,no
borde,103,5,no
compuesto,103,9,no
convento,103,8,no
curso,103,5,no
ejerció,103,7,no
lima,103,4,no
llevar,103,6,no
mezcla,103,6,no
normal,103,6,no
operaciones,103,11,no
periodista,103,10,no
provincial,103,10,no
prácticamente,103,13,no
rosario,103,7,no
sitúa,103,5,no
sueño,103,5,no
vuelo,103,5,no
cuidado,102,7,no
editorial,102,9,no
especiales,102,10,no
futuro,102,6,no
liberal,102,7,no
monasterio,102,10,no
